阈值/V  计数
8.0    41
7.9    40
7.8    41
7.7    55
7.6    165
7.5    403
7.4    1138
7.3    2459
7.2    4775
7.1    7371
7.0    9605
6.9    10660
6.8    10265
6.7    8482
6.6    6408
6.5    4183
6.4    2624
6.3    1864
6.2    1314
6.1    1036
6.0    839
5.9    721
5.8    577
5.7    474
5.6    463
5.5    468
5.4    532
5.3    623
5.2    740
5.1    1029
5.0    1343
4.9    1769
4.8    2130
4.7    2375
4.6    2476
4.5    2447
4.4    2394
4.3    2487
4.2    2537
4.1    2466
4.0    2482
3.9    2437
3.8    2447
3.7    2508
3.6    2559
3.5    2503
3.4    2565
3.3    2637
3.2    2639
3.1    2714
3.0    2819
2.9    2803
2.8    2869
2.7    2965
2.6    3115
2.5    3292
2.4    3507
2.3    3524
2.2    3758
2.1    3966
2.0    3932
1.9    3596
1.8    3271
1.7    3147
1.6    3118
1.5    3003
1.4    3065
1.3    3027
1.2    3016
1.1    3050
1.0    3061
0.9    3188
0.8    3155
0.7    3235
0.6    3207
0.5    3437
0.4    8303
0.3    14796
0.2    6826
0.1    4049
0.0    28
